dataid,local_15min,house_type,ev_car,solar,grid,total_power_consumption,total_usage
5679,2019-05-01 00:00:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.38,0.389,0.052
5679,2019-05-01 00:15:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.315,0.324,0.053
5679,2019-05-01 00:30:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.166,0.17500000000000002,0.052
5679,2019-05-01 00:45:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.155,0.164,0.051
5679,2019-05-01 01:00:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.155,0.164,0.049999999999999996
5679,2019-05-01 01:15:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.157,0.166,0.049999999999999996
5679,2019-05-01 01:30:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.155,0.164,0.051
5679,2019-05-01 01:45:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.206,0.215,0.051
5679,2019-05-01 02:00:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.263,0.272,0.051
5679,2019-05-01 02:15:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.253,0.262,0.052
5679,2019-05-01 02:30:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.266,0.275,0.053
5679,2019-05-01 02:45:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.277,0.28600000000000003,0.053
5679,2019-05-01 03:00:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.374,0.383,0.053
5679,2019-05-01 03:15:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.41,0.419,0.053
5679,2019-05-01 03:30:00-05:00,Single-Family Home 001 (Master),0.002,0.009,0.304,0.313,0.051
5679,2019-05-01 03:45:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.472,0.481,0.052
5679,2019-05-01 04:00:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.485,0.494,0.052
5679,2019-05-01 04:15:00-05:00,Single-Family Home 001 (Master),0.003,0.009,0.378,0.387,0.051
5679,2019-05-01 04:30:00-05:00,Single-Family Home 001 (Master),0.003,0.008,1.046,1.054,0.053
5679,2019-05-01 04:45:00-05:00,Single-Family Home 001 (Master),0.003,0.008,0.912,0.92,0.053
