dataid,local_15min,house_type,ev_car,solar,grid,total_power_consumption,total_usage
4373,2018-01-01 00:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.014,1.675,1.661,0.29300000000000004
4373,2018-01-01 00:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.015,2.058,2.0429999999999997,0.7430000000000001
4373,2018-01-01 00:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.014,1.574,1.56,0.241
4373,2018-01-01 00:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.015,1.93,1.915,0.6110000000000001
4373,2018-01-01 01:00:00-06:00,Single-Family Home 001 (Master),0.001,0.0,0.0,0.0,0.901
4373,2018-01-01 01:15:00-06:00,Single-Family Home 001 (Master),0.001,0.0,0.0,0.0,0.7370000000000001
4373,2018-01-01 01:30:00-06:00,Single-Family Home 001 (Master),0.001,0.0,0.0,0.0,0.683
4373,2018-01-01 01:45:00-06:00,Single-Family Home 001 (Master),0.001,0.0,0.0,0.0,0.634
4373,2018-01-01 02:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.297,1.285,0.66
4373,2018-01-01 02:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.313,1.301,0.67
4373,2018-01-01 02:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.312,1.3,0.673
4373,2018-01-01 02:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.557,1.545,0.806
4373,2018-01-01 03:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.602,1.5890000000000002,1.144
4373,2018-01-01 03:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.676,1.663,1.2279999999999998
4373,2018-01-01 03:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.713,1.7000000000000002,1.2489999999999999
4373,2018-01-01 03:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.704,1.691,1.2399999999999998
4373,2018-01-01 04:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.742,1.729,1.275
4373,2018-01-01 04:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.419,1.4060000000000001,0.9440000000000001
4373,2018-01-01 04:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.69,1.677,1.2279999999999998
4373,2018-01-01 04:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.102,1.09,0.616
4373,2018-01-01 05:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.733,1.7200000000000002,1.2719999999999998
4373,2018-01-01 05:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.383,1.371,0.913
4373,2018-01-01 05:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.481,1.4680000000000002,1.012
4373,2018-01-01 05:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.726,1.713,1.2719999999999998
4373,2018-01-01 06:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.146,1.134,0.674
4373,2018-01-01 06:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.594,1.5810000000000002,1.1399999999999997
4373,2018-01-01 06:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.439,1.4260000000000002,0.98
4373,2018-01-01 06:45:00-06:00,Single-Family Home 001 (Master),0.001,-0.012,1.209,1.197,0.737
4373,2018-01-01 07:00:00-06:00,Single-Family Home 001 (Master),0.001,-0.014,1.826,1.812,1.378
4373,2018-01-01 07:15:00-06:00,Single-Family Home 001 (Master),0.001,-0.013,1.351,1.338,0.886
4373,2018-01-01 07:30:00-06:00,Single-Family Home 001 (Master),0.001,-0.015,1.374,1.3590000000000002,0.9050000000000001
4373,2018-01-01 07:45:00-06:00,Single-Family Home 001 (Master),0.001,0.01,1.665,1.675,1.2339999999999998
4373,2018-01-01 08:00:00-06:00,Single-Family Home 001 (Master),0.001,0.101,1.052,1.153,0.688
4373,2018-01-01 08:15:00-06:00,Single-Family Home 001 (Master),0.001,0.158,1.484,1.642,1.2009999999999998
4373,2018-01-01 08:30:00-06:00,Single-Family Home 001 (Master),0.001,0.407,0.862,1.269,0.804
4373,2018-01-01 08:45:00-06:00,Single-Family Home 001 (Master),0.001,0.564,1.026,1.5899999999999999,1.1389999999999998
4373,2018-01-01 09:00:00-06:00,Single-Family Home 001 (Master),0.001,0.973,0.829,1.802,1.3529999999999998
4373,2018-01-01 09:15:00-06:00,Single-Family Home 001 (Master),0.001,0.931,0.39,1.3210000000000002,0.864
